student_id,age,year_of_study,cgpa,attendance,hours_studied,previous_gpa,internship_experience,projects_completed,certifications,online_courses,study_consistency,success_score,success
S001,24,3,7.84,59.3,5.7,5.31,No,2,2,1,Medium,5.0195,0
S002,21,1,6.95,77.1,5.3,5.23,No,8,3,6,Medium,6.420111111111111,1
S003,22,1,5.7,93.6,1.2,8.53,No,4,2,4,High,5.256777777777777,0
S004,24,4,8.48,86.6,4.1,5.25,No,7,2,1,Medium,5.842333333333333,1
S005,20,3,7.77,90.3,4.4,5.36,Yes,6,4,3,Medium,6.327555555555555,1
S006,25,1,4.89,82.9,4.6,7.8,Yes,7,2,5,Low,5.747666666666667,1
S007,22,4,9.01,84.6,6.2,6.25,No,6,2,5,Low,6.770944444444444,1
S008,22,3,8.52,92.5,5.8,7.88,No,2,3,2,Low,6.313055555555556,1
S009,24,4,9.22,62.5,6.5,4.33,No,1,4,7,Low,6.4736111111111105,1
S010,19,2,7.99,74.5,7.9,6.44,No,6,2,1,Medium,6.140555555555556,1
S011,20,1,7.37,61.1,8.3,4.17,Yes,2,1,1,Medium,4.992333333333333,0
S012,24,2,6.3,99.4,7.5,4.31,No,2,0,3,Medium,5.244888888888889,0
S013,20,3,9.13,97.2,9.6,8.53,No,1,3,0,Low,6.828277777777777,1
S014,20,2,8.76,52.0,1.2,4.7,No,3,2,0,Low,4.372222222222222,0
S015,25,2,4.25,85.3,2.8,6.66,No,7,1,5,Medium,5.027,0
S016,22,3,4.15,96.3,1.1,6.06,No,0,2,5,High,4.3453333333333335,0
S017,21,4,6.07,59.0,6.8,5.74,Yes,0,2,4,Low,4.960277777777778,0
S018,25,2,8.46,78.4,9.1,8.5,No,4,4,6,High,7.550444444444445,1
S019,25,4,9.43,95.8,3.2,4.11,No,4,4,7,Medium,6.806166666666667,1
S020,20,2,4.83,51.7,9.3,7.32,No,0,4,3,Medium,5.366333333333333,0
S021,23,4,7.27,84.9,1.5,8.82,No,5,1,6,Medium,5.746,1
S022,22,3,6.09,64.9,9.4,6.8,Yes,0,2,6,Low,5.811555555555556,1
S023,19,2,9.33,96.2,4.2,8.68,Yes,4,0,2,Low,6.0199444444444445,1
S024,25,3,8.63,98.6,1.9,4.26,Yes,8,3,6,Medium,6.544833333333334,1
S025,21,2,8.61,97.2,5.4,6.09,No,4,4,2,Medium,6.5471666666666675,1
S026,23,3,6.58,73.7,3.3,5.3,Yes,5,4,6,High,5.884388888888888,1
S027,23,3,6.28,93.1,3.6,7.65,Yes,7,2,3,Medium,5.8315,1
S028,19,2,5.5,92.2,3.8,8.91,No,0,2,2,Low,4.968,0
S029,25,2,4.31,66.0,8.2,5.28,Yes,1,1,0,High,4.184166666666667,0
S030,21,2,8.76,91.4,5.9,7.27,No,8,1,2,Low,6.503777777777778,1
S031,22,1,8.47,51.9,3.8,4.99,No,2,4,2,Medium,5.270444444444445,0
S032,18,4,9.5,79.8,6.5,6.83,No,5,2,3,Medium,6.5808888888888895,1
S033,21,1,9.48,61.5,7.4,6.32,Yes,4,0,3,High,5.879722222222222,1
S034,19,1,7.05,56.0,3.5,8.86,Yes,1,3,2,High,5.061944444444445,0
S035,23,3,8.23,53.8,4.7,7.04,No,6,2,7,Medium,6.2267222222222225,1
S036,22,2,9.2,84.8,2.1,5.75,No,3,2,1,Medium,5.350888888888889,0
S037,21,4,8.67,67.0,2.6,4.57,No,0,1,7,High,5.145277777777779,0
S038,18,3,5.36,86.2,7.1,4.76,Yes,3,3,3,Low,5.501888888888889,1
S039,18,1,6.48,53.3,2.6,5.13,No,5,4,7,Low,5.554500000000001,1
S040,20,2,4.71,65.8,5.7,5.25,No,6,2,7,Low,5.477833333333333,0
S041,20,3,9.25,77.0,7.4,8.25,No,6,4,4,Low,7.394166666666667,1
S042,24,2,7.33,89.5,2.0,6.81,No,6,2,4,Medium,5.7316666666666665,1
S043,19,3,5.26,65.9,6.1,6.62,No,2,4,0,Medium,4.954055555555556,0
